"cnative_location","n","idt","id"
"- cochin-",5,"A","1"
"agra",1,"B","2"
"ahmedabad",5,"C","3"
"allahabad",20,"D","4"
"ambur",2,"E","5"
"anantapur",1,"F","6"
"baddi",1,"G","7"
"bangalore",151,"H","8"
"belgaum",1,"I","9"
"bhubaneshwar",1,"J","10"
"chandigarh",5,"K","11"
"chennai",595,"L","12"
"chitoor",6,"M","13"
"cochin",24,"N","14"
"coimbatore",21,"O","15"
"cuttack",25,"P","16"
"delhi",4,"Q","17"
"delhi /ncr",2,"R","18"
"faizabad",1,"S","19"
"ghaziabad",1,"T","20"
"gurgaon",26,"U","21"
"hissar",1,"V","22"
"hosur",3,"W","23"
"hyderabad",172,"X","24"
"kanpur",1,"Y","25"
"kolkata",14,"Z","26"
"kurnool",1,NA,"27"
"lucknow",1,NA,"28"
"mumbai",7,NA,"29"
"mysore",1,NA,"30"
"nagercoil",16,NA,"31"
"noida",17,NA,"32"
"panjim",1,NA,"33"
"patna",2,NA,"34"
"pondicherry",5,NA,"35"
"pune",22,NA,"36"
"salem",3,NA,"37"
"tanjore",1,NA,"38"
"tirupati",4,NA,"39"
"trichy",13,NA,"40"
"trivandrum",14,NA,"41"
"tuticorin",1,NA,"42"
"vellore",12,NA,"43"
"vijayawada",4,NA,"44"
"visakapatinam",16,NA,"45"
"warangal",3,NA,"46"
