DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,LTI,DART,DESCRIPTION,Number_OF_Incidents,HOURS_YOY,LTI_YOY,DART_YOY,OSHA_YOY,LTI_Rate,DART_Rate,OSHA_Rate
Belle of Louisville           ,10/7/2017,NULL,NULL,NULL,0,72472.63,0,0,0,0,0,0
Codes & Regulations,10/7/2017,NULL,NULL,NULL,0,265233.03,1,5,15,0.754053897,3.770269487,11.31080846
Commonwealth Attorney         ,10/7/2017,NULL,NULL,NULL,0,39285,0,0,0,0,0,0
Community Services,10/7/2017,NO,NO,Sudden Illness,1,234422.44,0,0,4,0,0,3.412642578
Coroner                       ,10/7/2017,NULL,NULL,NULL,0,30872,0,0,0,0,0,0
Corrections                   ,10/7/2017,YES,YES,Contusion/Bruise,1,1046317.62,33,48,65,6.307836047,9.17503425,12.42452555
Corrections                   ,10/7/2017,YES,YES,Cut or Laceration,1,1046317.62,33,48,65,6.307836047,9.17503425,12.42452555
County Attorney               ,10/7/2017,NULL,NULL,NULL,0,204297.3,0,0,0,0,0,0
Dept of Information Technology,10/7/2017,NULL,NULL,NULL,0,111024.8,0,0,1,0,0,1.801399327
Develop Louisville,10/7/2017,NULL,NULL,NULL,0,198811.55,0,0,2,0,0,2.011955543
Econ Growth & Innovation ,10/7/2017,NULL,NULL,NULL,0,43640.8,0,0,0,0,0,0
Econ Growth & Innovation-APCD,10/7/2017,NULL,NULL,NULL,0,90780.9,0,0,0,0,0,0
Emergency Mgt Agency/MetroSafe,10/7/2017,NULL,NULL,NULL,0,372821.4634,1,1,3,0.536449801,0.536449801,1.609349404
Fire & Rescue                 ,10/7/2017,NULL,NULL,NULL,0,1210645.3,42,43,43,6.938448446,7.103649599,7.103649599
Fleet & Facilities,10/7/2017,NO,YES,Strain (muscle/tendon),1,334910.9533,2,5,10,1.194347321,2.985868303,5.971736607
Human Relations Commission    ,10/7/2017,NULL,NULL,NULL,0,26783.1,0,0,1,0,0,7.467395484
Human Resources,10/7/2017,NULL,NULL,NULL,0,75348.15,0,0,0,0,0,0
Internal Auditor              ,10/7/2017,NULL,NULL,NULL,0,12514.15,0,0,0,0,0,0
Kentuckiana Works Foundation,10/7/2017,NULL,NULL,NULL,0,45461.7,0,0,0,0,0,0
Library,10/7/2017,NULL,NULL,NULL,0,439010.05,2,3,4,0.911140873,1.366711309,1.822281745
Louisville Metro Council      ,10/7/2017,NULL,NULL,NULL,0,156983.45,0,0,0,0,0,0
Louisville Metro EMS,10/7/2017,NO,NO,Cut or Laceration,1,516598.79,35,64,98,13.55016724,24.77744867,37.94046827
Mayor's Office                ,10/7/2017,NULL,NULL,NULL,0,33396.8,0,0,0,0,0,0
Metro Animal Services         ,10/7/2017,NULL,NULL,NULL,0,116698.05,0,0,0,0,0,0
Metro Criminal Justice Comm   ,10/7/2017,NULL,NULL,NULL,0,6532.6,0,0,0,0,0,0
Metro Parks & Recreation,10/7/2017,YES,YES,Insect Sting,1,626551.8,18,32,40,5.745734032,10.21463828,12.76829785
Metro Police,10/7/2017,YES,YES,Multiple injuries,1,3033232.57,42,68,131,2.769322762,4.483665425,8.637649569
Office of Performance Improvmt,10/7/2017,NULL,NULL,NULL,0,26693.2,0,0,0,0,0,0
OMB ,10/7/2017,NO,NO,Cut or Laceration,1,382723.25,1,1,3,0.522570813,0.522570813,1.56771244
Other Officials               ,10/7/2017,NULL,NULL,NULL,0,17945,0,0,0,0,0,0
Parking Authority of River Cty,10/7/2017,NULL,NULL,NULL,0,50262.6,0,0,1,0,0,3.979101758
Public Health & Wellness,10/7/2017,NULL,NULL,NULL,0,384322.9,3,3,4,1.56118722,1.56118722,2.081582961
PW&A ,10/7/2017,NO,YES,Sprain  (ligament),1,844668.9,15,61,76,3.551687531,14.44352929,17.99521682
