text,value,status,from,mode
16 mins,963,OK,E15 1NS,driving
57 mins,3396,OK,W12 8ET,driving
41 mins,2469,OK,SW1V 1AP,driving
19 mins,1123,OK,SE1 2RE,driving
37 mins,2206,OK,WC1A 2QS,driving
43 mins,2604,OK,N6 5JW,driving
31 mins,1871,OK,EC1N 8PN,driving
36 mins,2158,OK,WC2B 6TE,driving
31 mins,1841,OK,N1 9AZ,driving
24 mins,1423,OK,WC2R 3LD,driving
20 mins,1184,OK,EC2M 4TP,driving
24 mins,1415,OK,WC2R 3AA,driving
3 hours 18 mins,11882,OK,S10 3TR,driving
32 mins,1897,OK,EC4M 7EJ,driving
41 mins,2447,OK,SW2 1BZ,driving
40 mins,2384,OK,SW4 7EE,driving
33 mins,1988,OK,N4 1LA,driving
42 mins,2497,OK,W1U 5LZ,driving
45 mins,2688,OK,SW1A 1LD,driving
47 mins,2806,OK,W1K 6JQ,driving
24 mins,1415,OK,WC2R 3AA,driving
40 mins,2424,OK,W1T 2GS,driving
36 mins,2184,OK,SW1A 2EL,driving
29 mins,1723,OK,SE15 4TL,driving
54 mins,3249,OK,W12 8QQ,driving
26 mins,1546,OK,EC1A 4DD,driving
4 hours 17 mins,15411,OK,BB5 3EZ,driving
49 mins,2961,OK,NW3 7SR,driving
52 mins,3092,OK,W8 5HD,driving
51 mins,3052,OK,SW15 2EQ,driving
41 mins,2434,OK,W1W 5QZ,driving
22 mins,1336,OK,EC4Y 7AR,driving
22 mins,1313,OK,EC2A 2AW,driving
1 hour 4 mins,3815,OK,CB1 3RX,driving
21 mins,1261,OK,SE1 1LB,driving
27 mins,1594,OK,N17 0UT,driving
14 mins,864,OK,EC3M 3BD,driving
24 mins,1415,OK,WC2R 3AA,driving
32 mins,1895,OK,EC4V 6EL,driving
26 mins,1562,OK,N16 0EP,driving
31 mins,1883,OK,EC1N 2AD,driving
56 mins,3345,OK,SW17 9LG,driving
53 mins,3166,OK,W11 1PA,driving
3 hours 26 mins,12341,OK,LS24 9QW,driving
48 mins,2863,OK,SW7 4DL,driving
28 mins,1677,OK,N17 8ER,driving
44 mins,2642,OK,W1J 5LF,driving
18 mins,1062,OK,EC3M 5BS,driving
34 mins,2011,OK,EC4A 2BB,driving
37 mins,2231,OK,WC2H 9JQ,driving
46 mins,2767,OK,W1F 7LD,driving
3 hours 30 mins,12585,OK,LS23 7BA,driving
38 mins,2281,OK,WC2B 6UN,driving
22 mins,1305,OK,SE14 5DG,driving
24 mins,1448,OK,EC2R 6EA,driving
52 mins,3143,OK,NW9 0HD,driving
14 mins,827,OK,E1 8HZ,driving
38 mins,2251,OK,N7 9LF,driving
39 mins,2322,OK,NW1 2BJ,driving
8 mins,454,OK,E16 4QH,driving
1 hour 28 mins,5250,OK,GU15 3NW,driving
26 mins,1551,OK,E4 7HB,driving
40 mins,2391,OK,N10 3JA,driving
22 mins,1341,OK,EC4Y 7BJ,driving
29 mins,1724,OK,SE1 8YF,driving
32 mins,1905,OK,WC1R 4HD,driving
30 mins,1829,OK,N1 9FL,driving
42 mins,2547,OK,SW11 5QU,driving
19 mins,1150,OK,EC2N 2HE,driving
18 mins,1105,OK,E12 6AQ,driving
9 mins,562,OK,E16 2QU,driving
39 mins,2356,OK,WC2R 3JL,driving
55 mins,3291,OK,AL2 3XS,driving
17 mins,1030,OK,SE10 8DA,driving
21 mins,1232,OK,SE1 4LA,driving
6 hours 45 mins,24274,OK,G4 0JY,driving
33 mins,1974,OK,SW1A 0AA,driving
17 mins,1037,OK,EC3A 7LL,driving
40 mins,2403,OK,N12 9BT,driving
22 mins,1310,OK,EC4Y 7AJ,driving
41 mins,2458,OK,SE21 8AE,driving
42 mins,2535,OK,W1J 7DR,driving
54 mins,3212,OK,SW18 5JU,driving
41 mins,2479,OK,N3 1SA,driving
40 mins,2379,OK,WC2A 3XT,driving
29 mins,1769,OK,SE11 6DF,driving
19 mins,1165,OK,E7 0JT,driving
5 mins,280,OK,E14 5LB,driving
28 mins,1662,OK,N13 4PN,driving
26 mins,1568,OK,N1 7HN,driving
5 hours 19 mins,19145,OK,CA1 1BG,driving
1 hour 4 mins,3811,OK,CB3 0EE,driving
41 mins,2449,OK,W1B 1PN,driving
33 mins,1994,OK,WC2A 1EN,driving
45 mins,2717,OK,SW16 2NJ,driving
24 mins,1465,OK,EC4Y 9BW,driving
25 mins,1508,OK,EC2V 5HA,driving
47 mins,2810,OK,W1J 8LA,driving
39 mins,2319,OK,WC2A 3LS,driving
30 mins,1808,OK,EC4M 7RF,driving
42 mins,2499,OK,N12 7DQ,driving
30 mins,1781,OK,N13 4LU,driving
37 mins,2210,OK,SE24 9JU,driving
38 mins,2278,OK,N3 2NR,driving
37 mins,2195,OK,NW1 3BG,driving
17 mins,1009,OK,E2 0EA,driving
1 hour 5 mins,3870,OK,SM4 5DX,driving
35 mins,2101,OK,DA12 5NF,driving
43 mins,2608,OK,N6 5JX,driving
44 mins,2612,OK,W1F 8BH,driving
32 mins,1939,OK,WC1N 2LS,driving
45 mins,2670,OK,W1T 3PJ,driving
38 mins,2290,OK,WC2N 4JJ,driving
17 mins,1030,OK,E7 9AW,driving
36 mins,2164,OK,EC4Y 7EL,driving
48 mins,2902,OK,NW2 7LN,driving
10 hours 46 mins,38745,OK,BT49 0BX,driving
25 mins,1522,OK,EC1V 2QQ,driving
54 mins,3263,OK,NW6 2DB,driving
24 mins,1459,OK,EC2V 6BW,driving
1 hour 10 mins,4204,OK,UB2 4AU,driving
55 mins,3271,OK,SW15 2TX,driving
27 mins,1630,OK,N1 7RQ,driving
2 hours 21 mins,8436,OK,LE2 0GN,driving
39 mins,2350,OK,WC2A 3SR,driving
9 mins,532,OK,E1W 3SL,driving
57 mins,3438,OK,W12 9JW,driving
2 hours 37 mins,9411,OK,GL8 8HZ,driving
24 mins,1469,OK,N18 2TZ,driving
42 mins,2513,OK,NW5 3AN,driving
3 hours 57 mins,14239,OK,OL10 2TL,driving
42 mins,2511,OK,N3 1QA,driving
51 mins,3036,OK,SW6 4EP,driving
4 hours 35 mins,16519,OK,PL1 4GP,driving
22 mins,1341,OK,EC4Y 7BH,driving
1 hour 3 mins,3775,OK,RH6 OPA,driving
23 mins,1401,OK,EC1Y 4UP,driving
24 mins,1414,OK,WC2R 3JH,driving
39 mins,2362,OK,W1G 7AE,driving
51 mins,3082,OK,W14 9NL,driving
45 mins,2690,OK,W1F 9DE,driving
7 mins,392,OK,E14 4HA,driving
1 hour 3 mins,3808,OK,LU1 4HS,driving
27 mins,1591,OK,N1 7ED,driving
35 mins,2123,OK,WC2A 1LF,driving
56 mins,3372,OK,SW19 2JA,driving
2 hours 34 mins,9240,OK,GL53 0EZ,driving
21 mins,1243,OK,SE1 2PR,driving
23 mins,1385,OK,SE18 1SL,driving
39 mins,2343,OK,W1G 6JE,driving
17 mins,1033,OK,EC4R 0DR,driving
4 mins,266,OK,E14 9YQ,driving
24 mins,1423,OK,WC2R 3LD,driving
56 mins,3376,OK,NW10 4ST,driving
13 mins,778,OK,E1 8EP,driving
56 mins,3369,OK,HA7 4AU,driving
32 mins,1939,OK,WC1N 2LS,driving
18 mins,1078,OK,SE9 1QG,driving
44 mins,2612,OK,SE19 1PA,driving
13 mins,809,OK,E1W 1AW,driving
39 mins,2319,OK,WC2A 3LS,driving
20 mins,1197,OK,SE18 7BZ,driving
37 mins,2243,OK,WC2E 9JL,driving
33 mins,1970,OK,EC4A 2AT,driving
13 mins,760,OK,E13 0AG,driving
22 mins,1340,OK,EC4Y 9AD,driving
37 mins,2240,OK,NW1 2PL,driving
24 mins,1423,OK,WC2R 3LD,driving
59 mins,3559,OK,SW19 1QE,driving
32 mins,1890,OK,N15 3AS,driving
53 mins,3150,OK,SW6 3PA,driving
45 mins,2720,OK,W1H 7LX,driving
21 mins,1256,OK,SE1 2QH,driving
25 mins,1522,OK,E17 5JL,driving
22 mins,1343,OK,N1 6HD,driving
40 mins,2416,OK,N19 5BS,driving
21 mins,1289,OK,EC2A 3LT,driving
42 mins,2537,OK,NW1 6QP,driving
33 mins,1984,OK,WC1V 6HG,driving
45 mins,2720,OK,W1H 7LX,driving
38 mins,2266,OK,N7 9DP,driving
29 mins,1764,OK,SE11 4DA,driving
2 mins,123,OK,E14 5AB,driving
2 hours 28 mins,8869,OK,BH7 6RA,driving
24 mins,1439,OK,N18 3HT,driving
45 mins,2720,OK,W1H 7LX,driving
55 mins,3327,OK,SW16 4NJ,driving
10 hours 33 mins,37986,OK,BT51 3SQ,driving
36 mins,2176,OK,EC4Y 7DB,driving
32 mins,1922,OK,WC1X 8HB,driving
44 mins,2656,OK,W1J 5EB,driving
21 mins,1246,OK,EC4Y 9AY,driving
34 mins,2012,OK,SW1P 3AZ,driving
20 mins,1196,OK,SE9 1UF,driving
44 mins,2646,OK,CR0 7RN,driving
1 hour 2 mins,3725,OK,SW14 8BY,driving
21 mins,1280,OK,EC4Y 0DZ,driving
53 mins,3150,OK,W11 3JE,driving
32 mins,1947,OK,WC1R 4BU,driving
40 mins,2403,OK,N12 9BT,driving
1 hour 14 mins,4445,OK,E15 1NS,walking
3 hours 31 mins,12650,OK,W12 8ET,walking
2 hours 12 mins,7917,OK,SW1V 1AP,walking
1 hour 6 mins,3980,OK,SE1 2RE,walking
1 hour 43 mins,6183,OK,WC1A 2QS,walking
2 hours 39 mins,9562,OK,N6 5JW,walking
1 hour 33 mins,5576,OK,EC1N 8PN,walking
1 hour 42 mins,6115,OK,WC2B 6TE,walking
1 hour 53 mins,6758,OK,N1 9AZ,walking
1 hour 35 mins,5672,OK,WC2R 3LD,walking
1 hour 7 mins,4001,OK,EC2M 4TP,walking
1 hour 33 mins,5606,OK,WC2R 3AA,walking
2 days 6 hours,195099,OK,S10 3TR,walking
1 hour 22 mins,4890,OK,EC4M 7EJ,walking
2 hours 12 mins,7919,OK,SW2 1BZ,walking
2 hours 25 mins,8684,OK,SW4 7EE,walking
2 hours 30 mins,8973,OK,N4 1LA,walking
2 hours 21 mins,8464,OK,W1U 5LZ,walking
2 hours 2 mins,7332,OK,SW1A 1LD,walking
2 hours 11 mins,7881,OK,W1K 6JQ,walking
1 hour 33 mins,5606,OK,WC2R 3AA,walking
1 hour 59 mins,7115,OK,W1T 2GS,walking
1 hour 46 mins,6387,OK,SW1A 2EL,walking
1 hour 30 mins,5384,OK,SE15 4TL,walking
3 hours 19 mins,11918,OK,W12 8QQ,walking
1 hour 25 mins,5109,OK,EC1A 4DD,walking
2 days 20 hours,244500,OK,BB5 3EZ,walking
3 hours 11 mins,11438,OK,NW3 7SR,walking
2 hours 48 mins,10054,OK,W8 5HD,walking
3 hours 19 mins,11910,OK,SW15 2EQ,walking
2 hours 7 mins,7649,OK,W1W 5QZ,walking
1 hour 33 mins,5559,OK,EC4Y 7AR,walking
1 hour 12 mins,4348,OK,EC2A 2AW,walking
17 hours 38 mins,63456,OK,CB1 3RX,walking
